Country (Country),Species (ASFIS species),Fishing area (FAO major fishing area),Unit (Unit),2010,2011,2012,2013,2014,2015,2016,2017
Oman,Spinefeet(=Rabbitfishes) nei,"Indian Ocean, Western",Tonnes - live weight,513,1032,757,1056,1008,3157,3476,2738
Kiribati,Marine molluscs nei,"Pacific, Western Central",Tonnes - live weight,1404 F,802 F,5,24,0 0,20 F,26 F,20 F
Croatia,Horned and musky octopuses,Mediterranean and Black Sea,Tonnes - live weight,464,452,494,578,670,502,371,362
Israel,Cape dory,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of","Grenadiers, rattails nei","Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of",Argentine hake,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,3246
Nicaragua,Green spiny lobster,"Pacific, Eastern Central",Tonnes - live weight,110,131,178,216,121,67,51,109
Norway,Blue grenadier,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Marine fishes nei,"Pacific, Western Central",Tonnes - live weight,-,-,-,-,-,-,1,0 0
United Kingdom,Common shrimp,"Atlantic, Northeast",Tonnes - live weight,921,397,926,860,595,324,806,570
"Korea, Republic of","Grenadiers, rattails nei","Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Seychelles,Marine fishes nei,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Marine fishes nei,"Pacific, Northeast",Tonnes - live weight,-,-,-,1,-,-,-,-
Un. Sov. Soc. Rep.,Common shrimp,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Senegal,Marine fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,9203,21811,3236,3881,21370,-,-,-
Guinea,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
United States of America,Spot croaker,"Atlantic, Western Central",Tonnes - live weight,11,26,24,82,25,27,70,30
"Korea, Republic of",Hagfishes nei,"Pacific, Northwest",Tonnes - live weight,15,23,43,25,61,80,82,77
Latvia,Argentine hake,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
New Zealand,Blue grenadier,"Pacific, Southwest",Tonnes - live weight,109969,118535,128010,132039,148650,156575,139991,143876
Uruguay,Black drum,"Atlantic, Southwest",Tonnes - live weight,664,583,694,405,710,760,466,544
"Venezuela, Boliv Rep of",Caribbean spiny lobster,"Atlantic, Western Central",Tonnes - live weight,90 F,...,...,90 F,97,635,103,105 F
Spain,Baird's slickhead,"Atlantic, Northeast",Tonnes - live weight,1567,1504,884,650,489,228,400,482
Spain,Marine fishes nei,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Syrian Arab Republic,Spinefeet(=Rabbitfishes) nei,Mediterranean and Black Sea,Tonnes - live weight,98,95 F,76 F,67 F,60 F,55 F,65 F,60 F
Tunisia,Deep-water rose shrimp,Mediterranean and Black Sea,Tonnes - live weight,1932,1840,2745,3528,2821,2762,2801,3606
United States of America,Black drum,"Atlantic, Northwest",Tonnes - live weight,82,70,104,116,76,84,88,113
Saint Vincent/Grenadines,"Needlefishes, etc. nei","Atlantic, Western Central",Tonnes - live weight,...,5,5,7,3,3 F,6,6
Mexico,American eel,"Atlantic, Western Central",Tonnes - live weight,...,140,127,...,...,...,...,-
Portugal,Sea lamprey,"Atlantic, Northeast",Tonnes - live weight,37,50,46,50,78,77,75,46
Spain,Baird's slickhead,"Atlantic, Northwest",Tonnes - live weight,1,-,-,1,-,-,-,0 0
Sudan (former),Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,5237 F,4887 F,-,-,-,-,-,-
Taiwan Province of China,Marine fishes nei,"Pacific, Southeast",Tonnes - live weight,-,-,199,194,46,12,5,8
Turkey,Deep-water rose shrimp,Mediterranean and Black Sea,Tonnes - live weight,1413,1482,1601,1620,2502,1764,1810,2357
United Arab Emirates,Spinefeet(=Rabbitfishes) nei,"Indian Ocean, Western",Tonnes - live weight,1711,1615,3765,3000 F,2200 F,2200 F,2200 F,2200 F
United States of America,Red drum,"Atlantic, Western Central",Tonnes - live weight,17,13,16,17,24,28,27,26
"Korea, Republic of","Grenadiers, rattails nei","Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Egypt,Elephantsnout fishes nei,Africa - Inland waters,Tonnes - live weight,...,...,965,1040,799,977,619,700 F
United States of America,Spot croaker,"Atlantic, Northwest",Tonnes - live weight,1022,2462,602,1558,2363,932,253,1040
Guinea,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
"China, Hong Kong SAR","Cuttlefish, bobtail squids nei","Pacific, Northwest",Tonnes - live weight,490 F,500 F,460 F,500 F,474 F,430 F,424 F,390 F
Lithuania,Southern rays bream,"Pacific, Southeast",Tonnes - live weight,51,-,-,63,-,50,-,46
Un. Sov. Soc. Rep.,Common shrimp,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
Saint Vincent/Grenadines,Hawksbill turtle,"Atlantic, Western Central",Tonnes - live weight,...,...,1,-,-,-,-,-
Sierra Leone,Marine fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,9880 F,11750 F,12600 F,14130 F,11477,11250 F,11250 F,11250 F
Spain,Marine fishes nei,"Indian Ocean, Eastern",Tonnes - live weight,16,30,12,1,-,4,0 0,0 0
South Africa,Marine fishes nei,"Atlantic, Southeast",Tonnes - live weight,4924,5126,4060,5935,5410,5783,5231,7455
Taiwan Province of China,Gastropods nei,"Pacific, Northwest",Tonnes - live weight,13,15,5,2,4,5,37,269
Tunisia,Marine crustaceans nei,Mediterranean and Black Sea,Tonnes - live weight,-,509,300,-,-,-,-,-
Spain,Pink cusk-eel,"Atlantic, Southwest",Tonnes - live weight,2835,2935,2583,3053,4741,3742,2410,2815
United States of America,Black drum,"Atlantic, Western Central",Tonnes - live weight,2087,2562,2682,2580,2403,2826,2724,2348
Spain,Kingklip,"Atlantic, Southeast",Tonnes - live weight,-,-,-,297,454,278,259,97
Ecuador,Pacific spadefish,"Pacific, Southeast",Tonnes - live weight,...,...,...,19,...,...,...,17
Greece,"Octopuses, etc. nei",Mediterranean and Black Sea,Tonnes - live weight,546,567,523,474,450,364,332,357
Guatemala,Marine molluscs nei,"Pacific, Eastern Central",Tonnes - live weight,1,9,10,10,3,5,3,3
Peru,Macha clam,"Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Bearded seal,"Pacific, Northwest",Number,104,58,104,69,23,45,22,269
South Africa,Marine fishes nei,"Atlantic, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,30,181,122,49,52,22,18,146
British Virgin Islands,Caribbean spiny lobster,"Atlantic, Western Central",Tonnes - live weight,40 F,40 F,40 F,40 F,40 F,40 F,40 F,40 F
United States of America,Red drum,"Atlantic, Northwest",Tonnes - live weight,107,44,32,184,48,37,36,88
Nigeria,"Conger eels, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,50 F
Falkland Is.(Malvinas),Pike icefish,"Atlantic, Southwest",Tonnes - live weight,5,0 0,0 0,0 0,0 0,9,14,1
Ghana,"Cuttlefish, bobtail squids nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Norway,European conger,"Atlantic, Northeast",Tonnes - live weight,4,0 0,0 0,0 0,1,0 0,0 0,1
Slovenia,Gastropods nei,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,1,0 0,0 0,-
Turkey,Marine fishes nei,Mediterranean and Black Sea,Tonnes - live weight,699,705,221,190,429,168,273,316
Singapore,Spinefeet(=Rabbitfishes) nei,"Pacific, Western Central",Tonnes - live weight,6,0 0,0 0,17,28,15,9,8
Spain,Silver scabbardfish,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,21,164,222,156,114
Spain,Marine crustaceans nei,"Indian Ocean, Western",Tonnes - live weight,0 0,-,-,6,51,5,-,-
Taiwan Province of China,Japanese corbicula,Asia - Inland waters,Tonnes - live weight,-,-,-,-,-,-,-,-
Taiwan Province of China,Marine fishes nei,"Pacific, Western Central",Tonnes - live weight,2301,211,426,261,170,567,72,1174
Gambia,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,...,...,18,6,38,34,36,22
Senegal,Deep-water rose shrimp,"Atlantic, Eastern Central",Tonnes - live weight,25,23,...,2464,2382,55,1764,2691
Seychelles,Spinefeet(=Rabbitfishes) nei,"Indian Ocean, Western",Tonnes - live weight,255,248,181,198,238,216,301,301 F
Sierra Leone,Marine crustaceans nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Taiwan Province of China,Marine fishes nei,"Pacific, Northeast",Tonnes - live weight,-,-,1,-,1,0 0,0 0,-
Tunisia,Marine fishes nei,Mediterranean and Black Sea,Tonnes - live weight,2558,4667,5618,6624,3131,4232,3621,4999
Turks and Caicos Is.,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,30 F,30 F,30,30,30,30 F,30 F,30
United States of America,Atlantic seabob,"Atlantic, Western Central",Tonnes - live weight,489,142,555,894,1109,507,724,263
Egypt,Common silver-biddy,"Indian Ocean, Western",Tonnes - live weight,50,19,9,3,23,9,8,10 F
France,Marine molluscs nei,Mediterranean and Black Sea,Tonnes - live weight,-,0 0,0 0,0 0,0 0,-,-,-
France,Common octopus,"Atlantic, Northeast",Tonnes - live weight,37,70,131,96,59,94,120,76
Ghana,"Octopuses, etc. nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Sandeels(=Sandlances) nei,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Silver scabbardfish,"Atlantic, Northeast",Tonnes - live weight,1000,1367,1097,594,688,392,336,181
Taiwan Province of China,Marine fishes nei,"Pacific, Southwest",Tonnes - live weight,547,405,389,317,259,392,736,344
Thailand,Marine fishes nei,"Indian Ocean, Eastern",Tonnes - live weight,190161,168119,137482,128934,110754,86557,106506,81580
Gambia,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,646,380 F,117,200,605,545,704,461
Japan,Argentine hake,"Atlantic, Southwest",Tonnes - live weight,0 0,1,-,-,-,-,-,...
Spain,Sandeels(=Sandlances) nei,"Atlantic, Northeast",Tonnes - live weight,95,142,177,64,146,307,83,81
Taiwan Province of China,Marine fishes nei,"Pacific, Eastern Central",Tonnes - live weight,1067,1544,1066,1382,1168,1228,964,957
Thailand,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,3,...,28,4,-
Belgium,Common shrimp,"Atlantic, Northeast",Tonnes - live weight,2078,769,880,1226,1178,666,1090,717
Eritrea,"Needlefishes, etc. nei","Indian Ocean, Western",Tonnes - live weight,3,2,0 0,0 0,0 0,0 0,0 0,0 0
Greenland,Beaked redfish,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,23
Portugal,Japanese carpet shell,"Atlantic, Northeast",Tonnes - live weight,105,567,889,772,1036,930,192,736
Russian Federation,Baleen whales nei,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Senegal,Gastropods nei,"Atlantic, Eastern Central",Tonnes - live weight,61,0 0,...,124,1635,519,...,-
South Africa,Silver scabbardfish,"Indian Ocean, Western",Tonnes - live weight,2,0 0,0 0,-,-,-,-,-
Taiwan Province of China,Marine fishes nei,"Indian Ocean, Eastern",Tonnes - live weight,2656,216,66,63,173,223,58,4564
"Tanzania, United Rep. of",Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,4216,4063,4405,4639,3504,1900,1937,1470
United Kingdom,Pandalus shrimps nei,"Atlantic, Northeast",Tonnes - live weight,23,47,31,13,14,2,0 0,0 0
Greenland,Beaked redfish,"Atlantic, Northeast",Tonnes - live weight,2992,-,-,-,1,626,3297,2357
Bahrain,Shrimp scad,"Indian Ocean, Western",Tonnes - live weight,...,...,43,30,25,24 F,24 F,24 F
Germany,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
United Arab Emirates,Mojarras(=Silver-biddies) nei,"Indian Ocean, Western",Tonnes - live weight,692,653,...,580 F,512,510,510 F,510 F
Ghana,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,3131,1804,1956,2428,3648,2825,2989,2317
Saint Vincent/Grenadines,Long-finned pilot whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Spain,Silver scabbardfish,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,213,54,-
Sweden,Sandeels(=Sandlances) nei,"Atlantic, Northeast",Tonnes - live weight,32741,32690,5652,26811,18815,33439,4259,42339
Taiwan Province of China,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,2170,1704,1515,1732,1788,1700,1368,1437
Trinidad and Tobago,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,6180,6214,5873,6078,6091,6067,6070,6086
Brazil,Amazon sailfin catfish,"America, South - Inland waters",Tonnes - live weight,...,1442,1453,1465,1447,1390 F,1390 F,1390 F
French Southern Terr,"Octopuses, etc. nei","Indian Ocean, Western",Tonnes - live weight,...,...,...,...,...,...,...,...
Georgia,"Cuttlefish, bobtail squids nei","Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Marine fishes nei,"Pacific, Antarctic",Tonnes - live weight,-,0 0,-,-,-,-,-,-
Spain,Sandeels(=Sandlances) nei,Mediterranean and Black Sea,Tonnes - live weight,604,728,605,766,759,318,283,77
Taiwan Province of China,Marine fishes nei,"Pacific, Northwest",Tonnes - live weight,57150,26371,29457,28790,28267,25860,22950,26563
Thailand,Marine fishes nei,"Pacific, Western Central",Tonnes - live weight,348807,322555,332994,357952,347826,319281,282078,252462
Tonga,Marine fishes nei,"Pacific, Eastern Central",Tonnes - live weight,1125 F,1200 F,1273 F,1140 F,1000 F,856,700 F,700 F
France,Common octopus,Mediterranean and Black Sea,Tonnes - live weight,1584,1574,1498,1794,1472,1296,1439,1533
France,Marine molluscs nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
"Venezuela, Boliv Rep of",Redtail catfish,"America, South - Inland waters",Tonnes - live weight,...,...,...,...,...,...,532,420 F
Germany,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Silver scabbardfish,Mediterranean and Black Sea,Tonnes - live weight,167,212,166,23,26,10,4,5
Ghana,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,...,47,28,152,221,596,699,349
Mauritania,Milk shark,"Atlantic, Eastern Central",Tonnes - live weight,516,634,895,689,748,1185,578,6037
Philippines,Needlefishes nei,"Pacific, Western Central",Tonnes - live weight,12915,11310,10260,9385,8404,7872,9786,8983
Portugal,Pullet carpet shell,"Atlantic, Northeast",Tonnes - live weight,260,135,245,127,81,35,28,12
Spain,Eelpouts,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Tokelau,Marine fishes nei,"Pacific, Eastern Central",Tonnes - live weight,50 F,50 F,10,10,10 F,10 F,10 F,10 F
Spain,Marine fishes nei,"Pacific, Southeast",Tonnes - live weight,67,143,411,34,2,2,5,1
"Venezuela, Boliv Rep of",Bull shark,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,14,15 F
France,"Cuttlefish, bobtail squids nei","Atlantic, Northeast",Tonnes - live weight,117,522,455,238,154,164,164,169
Senegal,Silver scabbardfish,"Atlantic, Eastern Central",Tonnes - live weight,...,383,1916,2212,...,...,...,454
Taiwan Province of China,Marine fishes nei,"Atlantic, Southwest",Tonnes - live weight,-,-,301,353,527,564,594,811
France,Cephalopods nei,"Atlantic, Northeast",Tonnes - live weight,-,29,27,14,7,0 0,0 0,-
Australia,Rudderfish,"Pacific, Southwest",Tonnes - live weight,148,94,80,41,41,47,64,47
Yemen,Scalloped spiny lobster,"Indian Ocean, Western",Tonnes - live weight,121,76,219,254 F,286 F,230 F,190 F,162 F
New Zealand,"Conger eels, etc. nei","Pacific, Southwest",Tonnes - live weight,163,142,155,170,201,193,199,210
Philippines,Short neck clams nei,"Pacific, Western Central",Tonnes - live weight,3,2,2,1,1,1,1,1
South Africa,Mozambique lobster,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Marine crustaceans nei,"Atlantic, Northeast",Tonnes - live weight,443,473,371,7,19,79,26,18
Spain,Deep-water rose shrimp,"Atlantic, Eastern Central",Tonnes - live weight,1502,2430,1582,2005,2131,1480,954,2275
United Kingdom,Common prawn,"Atlantic, Northeast",Tonnes - live weight,14,19,20,23,27,18,29,26
Spain,Gastropods nei,"Atlantic, Southeast",Tonnes - live weight,...,...,...,...,45,71,26,-
Togo,Marine fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,726,395,616,782,898,621,872,1647
French Polynesia,Marine molluscs nei,"Pacific, Eastern Central",Tonnes - live weight,150,150,150,150,150,150 F,150 F,150 F
France,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
France,"Octopuses, etc. nei","Atlantic, Northeast",Tonnes - live weight,123,109,152,209,136,157,160,241
Croatia,Stargazer,Mediterranean and Black Sea,Tonnes - live weight,...,2,2,4,7,6,6,5
Mexico,River prawns nei,"America, North - Inland waters",Tonnes - live weight,2759,1554,2455,2333,3345,3625,4001,4024
South Africa,Silver scabbardfish,"Atlantic, Southeast",Tonnes - live weight,3522,5057,3783,4968,6809,5762,4142,5486
Western Sahara,Marine crustaceans nei,"Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
United Arab Emirates,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,4292,2000,4424,3300 F,2427 F,2420 F,2420 F,2420 F
"Venezuela, Boliv Rep of",Atlantic seabob,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,58,60 F
Portugal,"Needlefishes, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Spain,Deep-water rose shrimp,"Atlantic, Northeast",Tonnes - live weight,1217,1990,1136,686,795,286,518,586
Spain,Marine crustaceans nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,0 0,0 0,0 0,-,4,8
Spain,Gastropods nei,Mediterranean and Black Sea,Tonnes - live weight,277,231,68,46,64,124,110,114
Syrian Arab Republic,Marine fishes nei,Mediterranean and Black Sea,Tonnes - live weight,247,240 F,185 F,163 F,147 F,135 F,160 F,145 F
Taiwan Province of China,Marine fishes nei,"Atlantic, Southeast",Tonnes - live weight,730,811,1035,878,232,392,318,273
United States of America,Oceanic whitetip shark,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Australia,Rudderfish,"Indian Ocean, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,-
France,Cephalopods nei,Mediterranean and Black Sea,Tonnes - live weight,1,2,1,1,2,-,-,0 0
Gabon,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,400 F,405 F,410 F,415 F,427,340 F,310 F,279 F
Lithuania,"Grenadiers, rattails nei","Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Mexico,North Pacific hake,"Pacific, Eastern Central",Tonnes - live weight,1246,2026,2592,8302,10077,7431,11581,8248
United States of America,Dusky shark,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Netherlands,European conger,"Atlantic, Northeast",Tonnes - live weight,-,-,1,1,1,1,1,1
New Zealand,River eels nei,"Pacific, Southwest",Tonnes - live weight,...,1,-,-,-,-,-,-
United States of America,Bull shark,"Atlantic, Western Central",Tonnes - live weight,59,132,39,27,24,26,50,46
Spain,Deep-water rose shrimp,"Atlantic, Southeast",Tonnes - live weight,26,46,-,162,593,232,256,190
Spain,Gastropods nei,"Atlantic, Eastern Central",Tonnes - live weight,17,13,13,21,20,25,34,35
Portugal,Slimeheads nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,American lobster,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Saint Lucia,Short-finned pilot whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Spain,Marine crustaceans nei,Mediterranean and Black Sea,Tonnes - live weight,40,33,14,82,51,100,105,70
"China, Hong Kong SAR",Pacific rudderfish,"Pacific, Northwest",Tonnes - live weight,1065 F,1080 F,980 F,1070 F,1020 F,920 F,900 F,810 F
Liberia,"Suckerfishes, remoras nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Splendid alfonsino,"Atlantic, Northeast",Tonnes - live weight,172,184,189,154,147,143,138,131
Taiwan Province of China,Marine fishes nei,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,1,1
Tuvalu,Marine fishes nei,"Pacific, Western Central",Tonnes - live weight,880 F,989,990 F,990 F,990 F,990 F,990 F,990 F
Spain,Deep-water rose shrimp,Mediterranean and Black Sea,Tonnes - live weight,245,269,261,144,57,1351,557,889
Gabon,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,5 F,5 F,5 F,5 F,5,4 F,4 F,4 F
Israel,Argentine hake,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Slimeheads nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Gastropods nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,27,47,60,61,127
Spain,Marine crustaceans nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Dusky shark,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Basket cockle,"Pacific, Northeast",Tonnes - live weight,179,167,149,155,155,195,544,217
Taiwan Province of China,Marine fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,310,352,193,144,142,121,87,60
Oman,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,3489,874,1428,1894,1574,2600,2616,8396
Anguilla,Caribbean spiny lobster,"Atlantic, Western Central",Tonnes - live weight,115,128,144,140,134,207 F,290,205 F
United States of America,Bull shark,"Atlantic, Northwest",Tonnes - live weight,1,4,2,4,6,2,4,2
Georgia,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Italy,Argentine hake,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Splendid alfonsino,"Atlantic, Eastern Central",Tonnes - live weight,...,...,8,7,16,40,12,1
South Africa,Marine crustaceans nei,"Indian Ocean, Western",Tonnes - live weight,58,81,82,61,-,-,-,-
Sweden,Marine crustaceans nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,0 0,0 0,0 0,1
Taiwan Province of China,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,-,7,2,10,3,50,48,26
Un. Sov. Soc. Rep.,Pandalus shrimps nei,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Martinique,Caribbean spiny lobster,"Atlantic, Western Central",Tonnes - live weight,150 F,125 F,100 F,97 F,95 F,100 F,104 F,104 F
Peru,Gastropods nei,"Pacific, Southeast",Tonnes - live weight,2389,2894,3101,2127,3302,3006,2751,1667
Poland,Marine fishes nei,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Marine fishes nei,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,3,...,-,-,-
Guinea-Bissau,Marine fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,2700 F,2644 F,2533 F,2726 F,2726 F,2726 F,2726 F,2726 F
Qatar,Spinefeet(=Rabbitfishes) nei,"Indian Ocean, Western",Tonnes - live weight,542,538,446,564,1354,1048,710,720
Romania,Marine crustaceans nei,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
South Africa,Killer whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Portugal,Marine fishes nei,"Atlantic, Southwest",Tonnes - live weight,71,3,1,3,...,...,...,3
Spain,Long-finned pilot whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,1,-
Thailand,Short neck clams nei,"Indian Ocean, Eastern",Tonnes - live weight,1985,0 0,0 0,-,66,-,-,1
Northern Mariana Is.,Marine fishes nei,"Pacific, Western Central",Tonnes - live weight,28,13,13,17,11,11,5,2
Liberia,Tiger shark,"Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,16
Panama,Marine fishes nei,"Pacific, Eastern Central",Tonnes - live weight,10037,6195,7587,5000,...,...,...,...
Poland,Finfishes nei,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,0 0,-,-,-
Poland,Marine fishes nei,"Atlantic, Antarctic",Tonnes - live weight,-,-,...,...,...,...,...,...
Poland,Groundfishes nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Finfishes nei,"Atlantic, Northeast",Tonnes - live weight,439,575,432,458,358,510,297,1337
Portugal,Marine fishes nei,"Atlantic, Southeast",Tonnes - live weight,23,2,8,2,0 0,...,-,69
Russian Federation,Eelpouts,"Pacific, Northwest",Tonnes - live weight,371,323,4,3,1,10,258,120
Russian Federation,Silver scabbardfish,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Poland,Groundfishes nei,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Australia,Australian snubfin dolphin,Marine areas outside the Antarctic,Number,-,3,-,1,-,-,-,-
Brazil,Broad-nosed caiman,"America, South - Inland waters",Number,5,-,20,...,...,...,...,...
Mexico,Caribbean spiny lobster,"Atlantic, Western Central",Tonnes - live weight,370,238,547,934,778,780,822,866
Poland,Finfishes nei,"Atlantic, Northeast",Tonnes - live weight,1,2,8,7,-,10,-,40
United Kingdom,Deep-sea red crab,"Atlantic, Northeast",Tonnes - live weight,10,12,5,-,-,-,-,0 0
Oman,Needlefishes nei,"Indian Ocean, Western",Tonnes - live weight,455,517,396,875,780,954,724,1396
Poland,Marine fishes nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,0 0,-,1
Portugal,Finfishes nei,"Atlantic, Northwest",Tonnes - live weight,1,4,0 0,1,...,...,0 0,-
Serbia and Montenegro,Marine crustaceans nei,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,...,...,...,...
South Africa,Spinner dolphin,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Portugal,Groundfishes nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Puerto Rico,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,23,6,1,2,4,22,310,307
Palau,Spinefeet(=Rabbitfishes) nei,"Pacific, Western Central",Tonnes - live weight,9,5,5 F,5 F,5 F,5,5,4
Russian Federation,Pacific sandlance,"Pacific, Northwest",Tonnes - live weight,25,35,-,15,3,3,-,-
Croatia,European barracuda,Mediterranean and Black Sea,Tonnes - live weight,1,2,1,2,2,2,2,3
Pakistan,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,17383,18568,24432,17853,28236,38595,10329,20645
Panama,Pink cusk-eel,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Philippines,Mojarras(=Silver-biddies) nei,"Pacific, Western Central",Tonnes - live weight,6384,6269,6208,5993,4939,4607,5303,4568
